TrackIndex,TrackName,TrackType,TrackVolume,TrackPan,TrackMute,TrackSolo,ClipFileName,ClipMobID,ClipTimelineStart,ClipTimelineEnd,ClipSourceStart,ClipLength,ClipGain,ClipVolume,ClipPan,ClipEffects,FadeInLength,FadeOutLength,CrossfadeLength,FadeInType,FadeOutType
1,"Audio 1_L","Audio",1.000,0.000,false,false,"Ozon_O_Rasprodaga_2_TVC_10s_SponsorProg_250606_HD_embedded_665.mxf_L","308E4C04-4208-06A3-6A24-DAF5EBE2502D",662.000,672.000,0.000,10.000,1.000,1.000,0.000,"",662.000,559.640,0.000,"Linear","Linear"
1,"Audio 1_L","Audio",1.000,0.000,false,false,"Ozon_O_Rasprodaga_2_TVC_10s_SponsorProg_250606_HD_embedded_665.mxf_L","308E4C04-4208-06A3-6A24-DAF5EBE2502D",1231.640,1241.640,0.000,10.000,1.000,1.000,0.000,"",559.640,0.000,0.000,"Linear","Linear"
2,"Audio 1_R","Audio",1.000,0.000,false,false,"Ozon_O_Rasprodaga_2_TVC_10s_SponsorProg_250606_HD_embedded_717.mxf_R","488A4C04-4208-06A3-D349-DAF5EBE2502D",662.000,672.000,0.000,10.000,1.000,1.000,0.000,"",662.000,559.640,0.000,"Linear","Linear"
2,"Audio 1_R","Audio",1.000,0.000,false,false,"Ozon_O_Rasprodaga_2_TVC_10s_SponsorProg_250606_HD_embedded_717.mxf_R","488A4C04-4208-06A3-D349-DAF5EBE2502D",1231.640,1241.640,0.000,10.000,1.000,1.000,0.000,"",559.640,0.000,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"_RACORD_GCP_NEW_59-30-00_embedded_350.mov","488A4C04-4208-06A3-B9A7-DAF5EBE2502D",0.000,30.000,0.000,30.000,1.000,1.000,0.000,"",0.000,69.440,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_567.wav","308E4C04-4208-06A3-4365-DAF5EBE2502D",99.440,104.360,6.000,4.920,1.000,1.000,0.000,"",69.440,13.880,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_492.wav","308E4C04-4208-06A3-A610-DAF5EBE2502D",118.240,124.680,6.000,6.440,1.000,1.000,0.000,"",13.880,36.440,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_307.wav","308E4C04-4208-06A3-1DA7-DAF5EBE2502D",161.120,167.640,6.000,6.520,1.000,1.000,0.000,"",36.440,42.880,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_62.wav","488A4C04-4208-06A3-BB9E-DAF5EBE2502D",210.520,217.720,6.000,7.200,1.000,1.000,0.000,"",42.880,57.080,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_771.wav","308E4C04-4208-06A3-9705-DAF5EBE2502D",274.800,285.040,6.000,10.240,1.000,1.000,0.000,"",57.080,62.560,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_553.wav","488A4C04-4208-06A3-160E-DAF5EBE2502D",347.600,358.120,6.000,10.520,1.000,1.000,0.000,"",62.560,28.320,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_89.wav","488A4C04-4208-06A3-1341-DAF5EBE2502D",386.440,393.360,6.000,6.920,1.000,1.000,0.000,"",28.320,59.200,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_364.wav","488A4C04-4208-06A3-ED26-DAF5EBE2502D",452.560,458.320,6.000,5.760,1.000,1.000,0.000,"",59.200,80.240,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_334.wav","488A4C04-4208-06A3-AED0-DAF5EBE2502D",538.560,545.040,6.000,6.480,1.000,1.000,0.000,"",80.240,39.440,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_842.wav","308E4C04-4208-06A3-22B3-DAF5EBE2502D",584.480,594.800,6.000,10.320,1.000,1.000,0.000,"",39.440,55.520,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_527.wav","488A4C04-4208-06A3-234E-DAF5EBE2502D",650.320,662.000,6.000,11.680,1.000,1.000,0.000,"",55.520,61.720,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_787.wav","308E4C04-4208-06A3-FDF2-DAF5EBE2502D",723.720,732.360,6.000,8.640,1.000,1.000,0.000,"",61.720,52.280,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_919.wav","308E4C04-4208-06A3-0938-DAF5EBE2502D",784.640,790.560,6.000,5.920,1.000,1.000,0.000,"",52.280,40.560,0.000,"Linear","Linear"
