TrackIndex,TrackName,TrackType,TrackVolume,TrackPan,TrackMute,TrackSolo,ClipFileName,ClipMobID,ClipTimelineStart,ClipTimelineEnd,ClipSourceStart,ClipLength,ClipGain,ClipVolume,ClipPan,ClipEffects,FadeInLength,FadeOutLength,CrossfadeLength,FadeInType,FadeOutType
0,"Audio 1_L","Audio",1.000,0.000,false,false,"Ozon_O_Rasprodaga_2_TVC_10s_SponsorProg_250606_HD.mxf_L","308E4C04-4208-06A3-6A24-DAF5EBE2502D",662.000,672.000,0.000,10.000,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
0,"Audio 1_L","Audio",1.000,0.000,false,false,"Ozon_O_Rasprodaga_2_TVC_10s_SponsorProg_250606_HD.mxf_L","308E4C04-4208-06A3-6A24-DAF5EBE2502D",1231.640,1241.640,0.000,10.000,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
1,"Audio 1_R","Audio",1.000,0.000,false,false,"Ozon_O_Rasprodaga_2_TVC_10s_SponsorProg_250606_HD.mxf_R","488A4C04-4208-06A3-D349-DAF5EBE2502D",662.000,672.000,0.000,10.000,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
1,"Audio 1_R","Audio",1.000,0.000,false,false,"Ozon_O_Rasprodaga_2_TVC_10s_SponsorProg_250606_HD.mxf_R","488A4C04-4208-06A3-D349-DAF5EBE2502D",1231.640,1241.640,0.000,10.000,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"_RACORD_GCP_NEW_59-30-00.mov","488A4C04-4208-06A3-B9A7-DAF5EBE2502D",0.000,30.000,0.000,30.000,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-4365-DAF5EBE2502D",99.440,104.360,6.000,4.920,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-A610-DAF5EBE2502D",118.240,124.680,6.000,6.440,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-1DA7-DAF5EBE2502D",161.120,167.640,6.000,6.520,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-BB9E-DAF5EBE2502D",210.520,217.720,6.000,7.200,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-9705-DAF5EBE2502D",274.800,285.040,6.000,10.240,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-160E-DAF5EBE2502D",347.600,358.120,6.000,10.520,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-1341-DAF5EBE2502D",386.440,393.360,6.000,6.920,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-ED26-DAF5EBE2502D",452.560,458.320,6.000,5.760,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-AED0-DAF5EBE2502D",538.560,545.040,6.000,6.480,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-22B3-DAF5EBE2502D",584.480,594.800,6.000,10.320,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-234E-DAF5EBE2502D",650.320,662.000,6.000,11.680,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-FDF2-DAF5EBE2502D",723.720,732.360,6.000,8.640,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-0938-DAF5EBE2502D",784.640,790.560,6.000,5.920,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
